gene_id	gene_name
ENSG00000000419	DPM1
ENSG00000000971	CFH
ENSG00000001084	GCLC
ENSG00000001497	LAS1L
ENSG00000001626	CFTR
ENSG00000001631	KRIT1
ENSG00000002016	RAD52
ENSG00000002726	AOC1
ENSG00000002822	MAD1L1
ENSG00000002834	LASP1
ENSG00000003137	CYP26B1
ENSG00000003393	ALS2
ENSG00000003400	CASP10
ENSG00000003436	TFPI
ENSG00000003509	NDUFAF7
ENSG00000004455	AK2
ENSG00000004468	CD38
ENSG00000004478	FKBP4
ENSG00000004700	RECQL
ENSG00000004776	HSPB6
ENSG00000004799	PDK4
ENSG00000004838	ZMYND10
ENSG00000004848	ARX
ENSG00000004864	SLC25A13
ENSG00000004939	SLC4A1
ENSG00000004948	CALCR
ENSG00000004961	HCCS
ENSG00000004975	DVL2
ENSG00000005073	HOXA11
ENSG00000005108	THSD7A
ENSG00000005156	LIG3
ENSG00000005187	ACSM3
ENSG00000005339	CREBBP
ENSG00000005421	PON1
ENSG00000005471	ABCB4
ENSG00000005483	KMT2E
ENSG00000005513	SOX8
ENSG00000005884	ITGA3
ENSG00000005893	LAMP2
ENSG00000005961	ITGA2B
ENSG00000006016	CRLF1
ENSG00000006047	YBX2
ENSG00000006062	MAP3K14
ENSG00000006071	ABCC8
ENSG00000006116	CACNG3
ENSG00000006283	CACNA1G
ENSG00000006377	DLX6
ENSG00000006468	ETV1
ENSG00000006530	AGK
ENSG00000006611	USH1C
ENSG00000006638	TBXA2R
ENSG00000006652	IFRD1
ENSG00000006695	COX10
ENSG00000006704	GTF2IRD1
ENSG00000006744	ELAC2
ENSG00000006837	CDKL3
ENSG00000007062	PROM1
ENSG00000007168	PAFAH1B1
ENSG00000007171	NOS2
ENSG00000007174	DNAH9
ENSG00000007202	KIAA0100
ENSG00000007216	SLC13A2
ENSG00000007312	CD79B
ENSG00000007314	SCN4A
ENSG00000007372	PAX6
ENSG00000007402	CACNA2D2
ENSG00000007908	SELE
ENSG00000007933	FMO3
ENSG00000008056	SYN1
ENSG00000008086	CDKL5
ENSG00000008196	TFAP2B
ENSG00000008226	DLEC1
ENSG00000008277	ADAM22
ENSG00000008311	AASS
ENSG00000008441	NFIX
ENSG00000008513	ST3GAL1
ENSG00000008710	PKD1
ENSG00000009307	CSDE1
ENSG00000009335	UBE3C
ENSG00000009709	PAX7
ENSG00000009724	MASP2
ENSG00000009765	IYD
ENSG00000009830	POMT2
ENSG00000009950	MLXIPL
ENSG00000009954	BAZ1B
ENSG00000010292	NCAPD2
ENSG00000010310	GIPR
ENSG00000010361	FUZ
ENSG00000010379	SLC6A13
ENSG00000010404	IDS
ENSG00000010610	CD4
ENSG00000010671	BTK
ENSG00000010704	HFE
ENSG00000010932	FMO1
ENSG00000011143	MKS1
ENSG00000011198	ABHD5
ENSG00000011295	TTC19
ENSG00000011376	LARS2
ENSG00000011465	DCN
ENSG00000011600	TYROBP
ENSG00000012048	BRCA1
ENSG00000012061	ERCC1
ENSG00000012174	MBTPS2
ENSG00000012232	EXTL3
ENSG00000012504	NR1H4
ENSG00000012779	ALOX5
ENSG00000012817	KDM5D
ENSG00000012963	UBR7
ENSG00000013306	SLC25A39
ENSG00000013503	POLR3B
ENSG00000013573	DDX11
ENSG00000013619	MAMLD1
ENSG00000014919	COX15
ENSG00000015133	CCDC88C
ENSG00000015285	WAS
ENSG00000015479	MATR3
ENSG00000280987	MATR3
ENSG00000015520	NPC1L1
ENSG00000015532	XYLT2
ENSG00000016082	ISL1
ENSG00000017260	ATP2C1
ENSG00000017427	IGF1
ENSG00000017483	SLC38A5
ENSG00000018236	CNTN1
ENSG00000018280	SLC11A1
ENSG00000018408	WWTR1
ENSG00000018510	AGPS
ENSG00000018625	ATP1A2
ENSG00000019186	CYP24A1
ENSG00000019549	SNAI2
ENSG00000019582	CD74
ENSG00000019991	HGF
ENSG00000020633	RUNX3
ENSG00000021488	SLC7A9
ENSG00000021574	SPAST
ENSG00000021645	NRXN3
ENSG00000021762	OSBPL5
ENSG00000021826	CPS1
ENSG00000021852	C8B
ENSG00000022267	FHL1
ENSG00000022355	GABRA1
ENSG00000022556	NLRP2
